ID Ticket GENERGY ;TYPE;ELEMENT;Description;Acteur;Catégorie ;Statut;Priorité;Actions réalisés;Date d'ouverture;Date de résolution;Durée de résolution;ID Jira
mail ;AERO ;FIBRE IHM-FTTE;Pb dysfonctionnement Eligibilité FTTE sur RIP Gers;Akram Sahli ;Demande d'assistance;Résolu;P3;Après vérification, les résultats d’éligibilité obtenus pour l’adresse 27 Avenue des Pyrénées, 32110 Nogaro sont corrects.;01/12/2025 00:00;02/12/2025 00:00;2;
INC001010977278;AERO ;FIBRE IHM-FTTH;Il est indiqué que le code immeuble IMB/33119/S/00L8 devrait être éligible depuis le 17/12 pour le FTTH Access. Cependant il a toujours le statut prochainement éligible.;Mariem Hammami;Demande d'assistance;Résolu;P3;l’IMB n’est pas présente dans les fichiers delta des dates suivantes : 17/12/2025, 18/12/2025 et 19/12/2025. Si l’IMB ne remonte pas non plus dans le fichier delta prévu pour le 20 , le résultat d'elgbilité soit mis à jours suite l'excution du job sur  le fichier full du dimanche.;19/12/2025;19/12/2025 00:00;1;
INC001010986955;AERO ;Orange-Eligibility KO;WS Orange KO deouis 14:50;Akram Sahli ;Bug;Résolu;P3;"Le problème a été résolu hier à 17h40.
Toutefois, la cause racine n’a pas été identifiée à ce stade.
Une investigation complémentaire est nécessaire afin d’anticiper et d’éviter toute récurrence lors de prochains incidents";29/12/2025;29/12/2025;1;
INC001011008164;AERO ;DONNEES ABSENTES OU INCORRECTES;"Nous constatons une erreur sur le PM lorsqu'on souhaite récupérer les infos de la structure sur l'OAPC de l'adresse ci-dessous et IMB => IMB/68256/X/025M 
PM IPE => FI-68256-0005
PM OAPC =>FI-68256-0009";Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;"le PM OAPC n'est pas dans notre périmètre d'intervention, ni utilisé dans notre environnement. De plus, 
nous n'avons pas la main pour effectuer des modifications sur ce paramètre.";14/01/2026;14/01/2026;1;
INC001011016378;AERO ;CONNEXION IMPOSSIBLE;Depuis 19/01/2026 08h00 on a erreurs 400 sur Persephone Check PM;Akram Sahli ;Aucun probléme lié a AERO ;Résolu;P3;Après analyse des logs, les requêtes ne semblent pas atteindre notre API AEW. Les erreurs se produisent au niveau du Load Balancer (LB_orange) en amont.;20/01/2026;21/01/2026 00:00;2;
INC001011016287;AERO ;CONNEXION IMPOSSIBLE;Depuis 19/01/2026 08h00 on a erreurs 400 sur Persephone Check PM;Akram Sahli ;Aucun probléme lié a AERO ;Résolu;P3;Après analyse des logs, les requêtes ne semblent pas atteindre notre API AEW. Les erreurs se produisent au niveau du Load Balancer (LB_orange) en amont.;20/01/2026;21/01/2026;2;
INC001011022462;AERO ;Orange-Eligibility KO;Nous constatons  des erreurs 500 pour le ws  orange-Eligibility entre 14h44 et 15h01;Akram Sahli ;Bug;Résolu;P3;Après vérification, il s'avère que les erreurs 500 rencontrées sur le web service orange-Eligibility entre 14h44 et 15h01 étaient dues à une panne du service Oras. Ce dernier étant actuellement rétabli;22/01/2026;22/01/2026;1;
INC001011028215;AERO ;FIBRE IHM-FTTH;L'adresse 64 Avenue de la Plage, 29950 Bénodet (IMB/29006/X/03LW) n'est pas éligible à la fibre FTTH alors que les adresses voisines le sont;Akram Sahli ;Demande d'assistance;Résolu;P3;Après analyse approfondie, nous confirmons que les résultats d'éligibilité obtenus pour l'adresse 64 Avenue de la Plage, 29950 Bénodet sont corrects et conformes aux règles.;27/01/2026;27/01/2026;1;
INC001011035776;AERO ;Orange-Eligibility KO;Erreur 400 sur webservice Orange Eligibility entre 15h30 et 15h56.;Akram Sahli ;Demande d'assistance;Résolu;P3;Le webservice a fonctionné normalement et a correctement retourné des erreurs 400 (Bad Request). Les erreurs 400 sont causées par des requêtes contenant des adresses ou des ND NON PRÉSENTES dans le référentiel ORAS.;30/01/2026;02/02/2026;2;
mail;AERO ;API;Le champ productOfferingQualificationItem est retourné vide ;Akram Sahli ;Demande d'assistance;Résolu;P3;Le champ productOfferingQualificationItem est retourné vide lorsque plusieurs bâtiments sont trouvés à la même adresse. ;03/02/2026;03/02/2026;1;
mail;AERO ;FIBRE IHM-FTTE;Nous avons une adresse sur le RIP Moselle qui s’affiche comme éligible aux offres FTTE passif du RIP mais qui a comme commentaire : « Blocage temporaire décidé par l'opérateur pour diverses raisons ». ;Akram Sahli ;Demande d'assistance;Résolu;P3;Tout semble fonctionner correctement.;02/02/2026;02/02/2026;1;
INC001011043751;AERO ;CUIVRE IHM;Pas d'eligibilite 0557247596;Akram Sahli ;Demande d'assistance;Résolu;P3;REFLET renvoie deux informations dans le champ infoGlobale pour le service getEtudeND : infoGlobale8 vide et infoGlobale9 = FCC et selon l'algo de cuivre résultat d'éligibilité Non éligible. ;05/02/2026;06/02/2026 00:00;2;
INC001011060693;AERO ;FIBRE IHM-FTTH;"Exemple : ID-972310000189
Problème avec toutes les adresses de l'OI MARTINIQUE THD";Akram Sahli ;Bug;Résolu;P3;"Selon l'algorithme FTTH BLOM OI TIERS, le résultat d'éligibilité pour l'offre FTTH Access aurait dû être ÉLIGIBLE durant toute cette période
Malgré mes investigations, je n'ai pas identifié de cause technique expliquant l'incohérence du résultat d'éligibilité constatée le 14/02 et le 15/02.";17/02/2026;20/02/2026;4;
INC001011060693;AERO ;RETOUR SUR TICKET;"Même problème constaté ce jour avec 2 codes IMB OI Martinique THD non éligibles : ID-97231000003P  et  ID-97227000002E
Comme la semaine dernière, ce matin, le pbl a disparu. 2 Codes Immeuble ID-97227000002E et ID-97231000003P éligibles ce jour Mardi 24 Février. Exactement comme la semaine dernière.";Akram Sahli ;Bug;Résolu;P3;"Les codes immeubles concernés sont restés éligibles à l’offre FTTH ACCESS dans AERO.
L’anomalie observée le 23/02/2026 ne s’est donc pas reproduite ce lundi. 
Il ne s’agissait pas d’une perte d’éligibilité globale de tous les sites FTTH de l’OI Martinique THD.
Seuls quelques codes immeubles étaient temporairement impactés.
Les immeubles concernés redeviennent éligibles automatiquement et durablement après traitement.";23/02/2026;02/03/2026 00:00;6;AERO-5118
INC001011079372;AERO ;CONNEXION IMPOSSIBLE;Degradation sur le service persephone-checkPM par le consomateur orange;Akram Sahli ;Hors perimètre d'AERO;Résolu;P4;On a transféré le ticket vers EINTERVENTION pour traitement.;02/03/2026;02/03/2026;1;
INC001011086893;AERO ;FIBRE IHM-FTTO;"Je suis en train de répondre à un appel doffres pour le client TERRENA.
Je constate des erreurs dans les informations remontées par Abacus lors des éligibilités FTTO (je ne me rappelle plus de la source de ces données).";Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;Nous vous informons que le ticket a été saisi sur l’application AERO. Toutefois, celui-ci ne relève pas de notre périmètre d’intervention;05/03/2026;06/03/2026;2;
INC001011092092;AERO ;MESSAGE D'ERREUR OU RESULTAT INATENDU;Absence affichage cartographie sur Code Immeuble : ID-9722700001MS;Akram Sahli ;Bug;Résolu;P3;"l’absence d’affichage de la cartographie pour le code immeuble ID-9722700001MS est due à un problème sur les coordonnées géographiques reçues. Les données transmises au système sont dans un format incorrect, ce qui empêche leur conversion correcte pour l’affichage sur la carte.
Le point a été identifié et partagé avec les équipes concernées ACHIL. Une action est en cours avec le fournisseur de données afin de corriger le format des coordonnées et permettre l’affichage correct de la cartographie.";10/03/2026;16/03/2026 00:00;5;AERO-5130
INC001011095518;AERO ;FIBRE IHM-FTTH;"Problème de non éligibilité du code Immeuble ID-9722700001MS dans AERO alors que le site est éligible
alors que dans les IPE le code Immeuble est à létat déployé sans Blocage";Akram Sahli ;Bug;Résolu;P3;"Le comportement observé est lié à un chevauchement entre plusieurs batchs d’alimentation des données.
Pendant l’exécution du batch oi_tiers, le calcul du statut d’éligibilité nécessite que l’immeuble soit présent à la fois dans les tables RECIF et REFLET.
Si l’une de ces tables est temporairement vide ou en cours de réalimentation à cause d’un traitement en mode full, l’immeuble peut être interprété comme absent et se voir attribuer le statut ""notfound"" dans AERO.
Ce chevauchement peut donc entraîner une incohérence temporaire dans le calcul du statut d’éligibilité, ce qui explique l’état de non-éligibilité observé malgré un statut déployé sans blocage dans les IPE.
Le lancement du batch oi_tiers lors des exécutions suivantes permet généralement de corriger automatiquement ce décalage une fois les tables correctement réalimentées.
Une solution est actuellement en cours afin d’optimiser le temps de traitement du batch oi_tiers et de limiter ce type de chevauchement.";11/03/2026;13/03/2026;3;AERO-5118
